"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 18 21:59:46 ALMT 2024","Thu Apr 18 21:59:47 ALMT 2024","1192","tests","test_authorization","","","","test_authorizationError",""
"passed","Thu Apr 18 21:59:40 ALMT 2024","Thu Apr 18 21:59:45 ALMT 2024","4673","tests","test_authorization","","","","test_authorization",""
